,experiment,model,rmse,gsm_0.0001,gsm_0.001,gsm_0.01,gsm_0.02,gsm_0.05,gsm_0.1,l0_2,l0_4
0,age_8_30,cnn,14.366012852964456,,,,,,,,
1,age_8_30,context_aware,4345.254191913459,,,,,,,,
2,base_model,cnn,28.433687278966623,32.58460592866666,179.963895282,336.482679282,342.8455579486667,284.15248928200003,181.29727368200005,0.4742202712543157,0.9691143945800612
3,base_model,context_aware,4098.0174463672565,0.0225599999999758,0.1749666666666902,0.7595533333333151,1.011573333333369,1.3069999999999102,1.60051333333325,,
4,base_model,enhanced_context_aware,717.2028049773347,0.0173710000000113,0.0929765999999934,0.1569597333333225,0.1455085999999966,0.0901350000000017,0.0499080000000096,,
